utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected,utt_cyr_norm_lowercase_nopunct
UTT_043426,TEF,2;03.24,TEF,tetito s'ga [: sega] tegva [: trygva] .,"['tetito', 'sega', 'trygva', '.']","['tetito', 'sega', 'trygva', '.']","['tetito', 'sega', 'trygva']",3,Тетито с'га [: сега] тегва [: тръгва] .,"['тетито', ""с'га"", 'сега', 'тегва', 'тръгва']",Тетито с'га тегва .,Тетито сега тръгва .,,тетито сега тръгва
UTT_043428,TEF,2;03.24,TEF,boi [: boli] ti [: ot teb] !,"['boli', 'ot', 'teb', '!']","['boli', 'ot', 'teb', '!']","['boli', 'ot', 'teb']",3,Бои [: боли] ти [: от теб] !,"['бои', 'боли', 'ти', 'от', 'теб']",Бои ти !,от теб !, Боли ти !,от теб
UTT_043432,TEF,2;03.24,TEF,tja mojta .,"['tja', 'mojta', '.']","['tja', 'mojta', '.']","['tja', 'mojta']",2,Тя мойта .,"['тя', 'мойта']",Тя мойта .,Тя мойта .,,тя мойта
UTT_043434,TEF,2;03.24,TEF,njama didzhini [: dovizhdane] !,"['njama', 'dovizhdane', '!']","['njama', 'dovizhdane', '!']","['njama', 'dovizhdane']",2,Няма диджини [: довиждане] !,"['няма', 'диджини', 'довиждане']",Няма диджини !,Няма довиждане !,,няма довиждане
UTT_043439,TEF,2;04.21,TEF,ikam [: iskam] pannish [: da padnesh] dolu !,"['iskam', 'da', 'padnesh', 'dolu', '!']","['iskam', 'da', 'padnesh', 'dolu', '!']","['iskam', 'da', 'padnesh', 'dolu']",4,Икам [: искам] панниш [: да паднеш] долу !,"['икам', 'искам', 'панниш', 'да', 'паднеш', 'долу']",Икам панниш долу !,да паднеш долу !,,да паднеш долу
UTT_043449,TEF,2;04.21,TEF,oshte enna [: edna] bonka [: bonbonka] .,"['oshte', 'edna', 'bonbonka', '.']","['oshte', 'edna', 'bonbonka', '.']","['oshte', 'edna', 'bonbonka']",3,Още енна [: една] бонка [: бонбонка] .,"['още', 'енна', 'една', 'бонка', 'бонбонка']",Още енна бонка .,Още една бонбонка .,,още една бонбонка
UTT_043451,TEF,2;04.21,TEF,eto ja !,"['eto', 'ja', '!']","['eto', 'ja', '!']","['eto', 'ja']",2,Ето я !,"['ето', 'я']",Ето я !,Ето я !,,ето я
UTT_043453,TEF,2;04.21,TEF,moja be !,"['moja', 'be', '!']","['moja', 'be', '!']","['moja', 'be']",2,Моя бе !,"['моя', 'бе']",Моя бе !,Моя бе !,Моя бе !,моя бе
UTT_043455,TEF,2;04.21,TEF,"fylimi, fylimi [: shte go xvyrlim] .","['fylimi', ',', 'shte', 'go', 'xvyrlim', '.']","['fylimi', ',', 'shte', 'go', 'xvyrlim', '.']","['fylimi', 'shte', 'go', 'xvyrlim']",4,"Фълими, фълими [: ще го xвърлим] .","['фълими', 'фълими', 'ще', 'го', 'xвърлим']","Фълими , фълими .",ще го xвърлим .,,ще го xвърлим
UTT_043463,TEF,2;04.21,TEF,eti [: eto] enna [: edna] bonka [: bonbonka] tja nogo [: mnogo] ubava [: xubava] .,"['eto', 'edna', 'bonbonka', 'tja', 'mnogo', 'xubava', '.']","['eto', 'edna', 'bonbonka', 'tja', 'mnogo', 'xubava', '.']","['eto', 'edna', 'bonbonka', 'tja', 'mnogo', 'xubava']",6,Ети [: ето] енна [: една] бонка [: бонбонка] тя ного [: много] убава [: xубава] .,"['ети', 'ето', 'енна', 'една', 'бонка', 'бонбонка', 'тя', 'ного', 'много', 'убава', 'xубава']",Ети енна бонка тя ного убава .,ето една бонбонка тя много xубава .,,ето една бонбонка тя много xубава
UTT_043466,TEF,2;04.21,TEF,ne be !,"['ne', 'be', '!']","['ne', 'be', '!']","['ne', 'be']",2,Не бе !,"['не', 'бе']",Не бе !,Не бе !,,не бе
UTT_043469,TEF,2;04.21,TEF,ti si dunda !,"['ti', 'si', 'dunda', '!']","['ti', 'si', 'dunda', '!']","['ti', 'si', 'dunda']",3,Ти си дунда !,"['ти', 'си', 'дунда']",Ти си дунда !,Ти си дунда !,,ти си дунда
UTT_043471,TEF,2;04.21,TEF,izh [: vizh] ko [: kakvo] paix [: napravix] !,"['vizh', 'kakvo', 'napravix', '!']","['vizh', 'kakvo', 'napravix', '!']","['vizh', 'kakvo', 'napravix']",3,Иж [: виж] ко [: какво] паиx [: направиx] !,"['иж', 'виж', 'ко', 'какво', 'паиx', 'направиx']",Иж ко паиx !,виж какво направиx !,,виж какво направиx
UTT_043473,TEF,2;04.21,TEF,izh [: vizh] ko [: kakvo] paja [: pravja] !,"['vizh', 'kakvo', 'pravja', '!']","['vizh', 'kakvo', 'pravja', '!']","['vizh', 'kakvo', 'pravja']",3,Иж [: виж] ко [: какво] пая [: правя] !,"['иж', 'виж', 'ко', 'какво', 'пая', 'правя']",Иж ко пая !,виж какво правя !,,виж какво правя
UTT_043484,TEF,2;04.21,TEF,eto Techi sxuska [: sxruska] !,"['eto', 'Techi', 'sxruska', '!']","['eto', 'techi', 'sxruska', '!']","['eto', 'techi', 'sxruska']",3,Ето течи сxуска [: сxруска] !,"['ето', 'течи', 'сxуска', 'сxруска']",Ето течи сxуска !,Ето течи сxруска !,,ето течи сxруска
UTT_043488,TEF,2;04.21,TEF,tijata [: v jutijata] .,"['v', 'jutijata', '.']","['v', 'jutijata', '.']","['v', 'jutijata']",2,Тията [: в йутията] .,"['тията', 'в', 'йутията']",Тията .,в йутията .,,в йутията
UTT_043489,TEF,2;04.21,TEF,tyz pannala [: padnala] !,"['tyz', 'padnala', '!']","['tyz', 'padnala', '!']","['tyz', 'padnala']",2,Тъз паннала [: паднала] !,"['тъз', 'паннала', 'паднала']",Тъз паннала !,Тъз паднала !,,тъз паднала
UTT_043491,TEF,2;04.21,TEF,mozhi be !,"['mozhi', 'be', '!']","['mozhi', 'be', '!']","['mozhi', 'be']",2,Можи бе !,"['можи', 'бе']",Можи бе !,Можи бе !,,можи бе
UTT_043493,TEF,2;04.21,TEF,chakaj toja [: da otvorja] !,"['chakaj', 'da', 'otvorja', '!']","['chakaj', 'da', 'otvorja', '!']","['chakaj', 'da', 'otvorja']",3,Чакай тоя [: да отворя] !,"['чакай', 'тоя', 'да', 'отворя']",Чакай тоя !,да отворя !,Чакай отворя !,да отворя
UTT_043494,TEF,2;04.21,TEF,chakaj toja [: da otvorja] !,"['chakaj', 'da', 'otvorja', '!']","['chakaj', 'da', 'otvorja', '!']","['chakaj', 'da', 'otvorja']",3,Чакай тоя [: да отворя] !,"['чакай', 'тоя', 'да', 'отворя']",Чакай тоя !,да отворя !,,да отворя
UTT_043496,TEF,2;04.21,TEF,chakaj ga [: sega] !,"['chakaj', 'sega', '!']","['chakaj', 'sega', '!']","['chakaj', 'sega']",2,Чакай га [: сега] !,"['чакай', 'га', 'сега']",Чакай га !,Чакай сега !,,чакай сега
UTT_043508,TEF,2;04.21,TEF,da be .,"['da', 'be', '.']","['da', 'be', '.']","['da', 'be']",2,Да бе .,"['да', 'бе']",Да бе .,Да бе .,Да бе .,да бе
UTT_043509,TEF,2;04.21,TEF,kyde tubichkata [: torbichkata] ?,"['kyde', 'torbichkata', '?']","['kyde', 'torbichkata', '?']","['kyde', 'torbichkata']",2,Къде тубичката [: торбичката] ?,"['къде', 'тубичката', 'торбичката']",Къде тубичката ?,Къде торбичката ?,,къде торбичката
UTT_043513,TEF,2;04.21,TEF,tyj mozhe .,"['tyj', 'mozhe', '.']","['tyj', 'mozhe', '.']","['tyj', 'mozhe']",2,Тъй може .,"['тъй', 'може']",Тъй може .,Тъй може .,,тъй може
UTT_043521,TEF,2;04.21,TEF,tja sxus'ka [: da sxruska] .,"['tja', 'da', 'sxruska', '.']","['tja', 'da', 'sxruska', '.']","['tja', 'da', 'sxruska']",3,Тя сxус'ка [: да сxруска] .,"['тя', ""сxус'ка"", 'да', 'сxруска']",Тя сxус'ка .,да сxруска .,,да сxруска
UTT_043525,TEF,2;04.21,TEF,"ne be, bona [: bonbona] be !","['ne', 'be', ',', 'bonbona', 'be', '!']","['ne', 'be', ',', 'bonbona', 'be', '!']","['ne', 'be', 'bonbona', 'be']",4,"Не бе, бона [: бонбона] бе !","['не', 'бе', 'бона', 'бонбона', 'бе']","Не бе , бона бе !","Не бе , бонбона бе !",,не бе бонбона бе
UTT_043526,TEF,2;04.21,TEF,ikam [: iskam] pak jejata [: na leljata] dam [: da dam] !,"['iskam', 'pak', 'na', 'leljata', 'da', 'dam', '!']","['iskam', 'pak', 'na', 'leljata', 'da', 'dam', '!']","['iskam', 'pak', 'na', 'leljata', 'da', 'dam']",6,Икам [: искам] пак йеята [: на лелята] дам [: да дам] !,"['икам', 'искам', 'пак', 'йеята', 'на', 'лелята', 'дам', 'да', 'дам']",Икам пак йеята дам !,искам на да дам !,,искам на да дам
UTT_043534,TEF,2;04.21,TEF,mene [: za mene] ima .,"['za', 'mene', 'ima', '.']","['za', 'mene', 'ima', '.']","['za', 'mene', 'ima']",3,Мене [: за мене] има .,"['мене', 'за', 'мене', 'има']",Мене има .,за мене има .,,за мене има
UTT_043536,TEF,2;04.21,TEF,toja tuka !,"['toja', 'tuka', '!']","['toja', 'tuka', '!']","['toja', 'tuka']",2,Тоя тука !,"['тоя', 'тука']",Тоя тука !,Тоя тука !,,тоя тука
UTT_043542,TEF,2;04.21,TEF,"mojto, be .","['mojto', ',', 'be', '.']","['mojto', ',', 'be', '.']","['mojto', 'be']",2,"Мойто, бе .","['мойто', 'бе']","Мойто , бе .","Мойто , бе .",,мойто бе
UTT_043547,TEF,2;04.21,TEF,mene [: za mene] .,"['za', 'mene', '.']","['za', 'mene', '.']","['za', 'mene']",2,Мене [: за мене] .,"['мене', 'за', 'мене']",Мене .,за мене .,,за мене
UTT_043551,TEF,2;04.21,TEF,"tuj ganno [: gadno], nogo [: mnogo] ganno [: gadno] !","['tuj', 'gadno', ',', 'mnogo', 'gadno', '!']","['tuj', 'gadno', ',', 'mnogo', 'gadno', '!']","['tuj', 'gadno', 'mnogo', 'gadno']",4,"Туй ганно [: гадно], ного [: много] ганно [: гадно] !","['туй', 'ганно', 'гадно', 'ного', 'много', 'ганно', 'гадно']","Туй ганно , ного ганно !",Туй гадно много гадно !,,туй гадно много гадно
UTT_043556,TEF,2;04.21,TEF,"izh [: vizh] go, izh [: vizh] go !","['vizh', 'go', ',', 'vizh', 'go', '!']","['vizh', 'go', ',', 'vizh', 'go', '!']","['vizh', 'go', 'vizh', 'go']",4,"Иж [: виж] го, иж [: виж] го !","['иж', 'виж', 'го', 'иж', 'виж', 'го']","Иж го , иж го !","виж го , виж го !","Виж го , виж го !",виж го виж го
UTT_043559,TEF,2;04.21,TEF,ne be !,"['ne', 'be', '!']","['ne', 'be', '!']","['ne', 'be']",2,Не бе !,"['не', 'бе']",Не бе !,Не бе !,,не бе
UTT_043561,TEF,2;04.21,TEF,bjax bona [: bolna] i ga [: sega] pija .,"['bjax', 'bolna', 'i', 'sega', 'pija', '.']","['bjax', 'bolna', 'i', 'sega', 'pija', '.']","['bjax', 'bolna', 'i', 'sega', 'pija']",5,Бяx бона [: болна] и га [: сега] пия .,"['бяx', 'бона', 'болна', 'и', 'га', 'сега', 'пия']",Бяx бона и га пия .,Бяx болна и сега пия .,,бяx болна и сега пия
UTT_043565,TEF,2;04.21,TEF,kola be .,"['kola', 'be', '.']","['kola', 'be', '.']","['kola', 'be']",2,Кола бе .,"['кола', 'бе']",Кола бе .,Кола бе .,,кола бе
UTT_043567,TEF,2;04.21,TEF,"Toi go, toi go !","['Toi', 'go', ',', 'toi', 'go', '!']","['toi', 'go', ',', 'toi', 'go', '!']","['toi', 'go', 'toi', 'go']",4,"Тои го, тои го !","['тои', 'го', 'тои', 'го']","Тои го , тои го !","Тои го , тои го !",,тои го тои го
UTT_043570,TEF,2;04.21,TEF,"Toi go [: otvori], toi [: otvori] go !","['Toi', 'otvori', ',', 'otvori', 'go', '!']","['toi', 'otvori', ',', 'otvori', 'go', '!']","['toi', 'otvori', 'otvori', 'go']",4,"Тои го [: отвори], тои [: отвори] го !","['тои', 'го', 'отвори', 'тои', 'отвори', 'го']","Тои го , тои го !",Тои отвори отвори го !,,тои отвори отвори го
UTT_043572,TEF,2;04.21,TEF,Toi [: otvori] go !,"['otvori', 'go', '!']","['otvori', 'go', '!']","['otvori', 'go']",2,Тои [: отвори] го !,"['тои', 'отвори', 'го']",Тои го !,отвори го !,,отвори го
UTT_043575,TEF,2;04.21,TEF,iskash kova [: takova] ?,"['iskash', 'takova', '?']","['iskash', 'takova', '?']","['iskash', 'takova']",2,Искаш кова [: такова] ?,"['искаш', 'кова', 'такова']",Искаш кова ?,Искаш такова ?,,искаш такова
UTT_043578,TEF,2;04.21,TEF,ne be .,"['ne', 'be', '.']","['ne', 'be', '.']","['ne', 'be']",2,Не бе .,"['не', 'бе']",Не бе .,Не бе .,Не бе .,не бе
UTT_043579,TEF,2;04.21,TEF,Sega toa [: tova] she tvoja [: shte otvorja] .,"['Sega', 'tova', 'she', 'shte', 'otvorja', '.']","['sega', 'tova', 'she', 'shte', 'otvorja', '.']","['sega', 'tova', 'she', 'shte', 'otvorja']",5,Сега тоа [: това] ше твоя [: ще отворя] .,"['сега', 'тоа', 'това', 'ше', 'твоя', 'ще', 'отворя']",Сега тоа ше твоя .,Сега това ще отворя .,,сега това ще отворя
